id	name	percent	pop	rank
31540	Madison, WI Metro Area	54.80610105472064	576467	89
42540	Scranton--Wilkes-Barre, PA Metro Area	35.43817185164092	563223	90
49660	Youngstown-Warren-Boardman, OH-PA Metro Area	29.380207039900938	562739	91
12260	Augusta-Richmond County, GA-SC Metro Area	33.24914213843357	561858	92
36260	Ogden-Clearfield, UT Metro Area	40.13011694812531	555916	93
25420	Harrisburg-Carlisle, PA Metro Area	40.04789862468295	552911	94
27140	Jackson, MS Metro Area	38.57163500001762	545394	95
37340	Palm Bay-Melbourne-Titusville, FL Metro Area	39.33832784362668	543566	96
39340	Provo-Orem, UT Metro Area	46.66657672000504	540834	97
16860	Chattanooga, TN-GA Metro Area	32.15697216502492	533372	98
29540	Lancaster, PA Metro Area	31.737933453827203	523594	99
33700	Modesto, CA Metro Area	24.0326747837926	518522	100
